"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Widen","Ctrl+X N W","Editing Text"
"Text Editing","Line Up","Ctrl+Alt+P","Editing Text"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Text Editing","Forward Paragraph","Alt+}","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"File","New (JUnit Test Case)","Ctrl+C P U","In Windows"
"Text Editing","Recenter Other Window","Alt+Insert","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Forward Word","Esc F","Editing Text"
"Refactor - Java","Extract Method","Ctrl+C P X M","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Text Editing","Next Line","Down","Editing Text"
"Search","Open Search Dialog","Ctrl+Z","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Text End","Shift+Alt+>","Editing Text"
"Run/Debug","Debug AspectJ/Java Application","Shift+Alt+D C","In Windows"
"Text Editing","Universal Argument","Ctrl+-","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Refactoring","Move Resources","Ctrl+C P X R","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Text Editing","Delete Previous","Ctrl+H","Editing Text"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Copy to Register","Ctrl+X X","Editing Text"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Text Editing","Query Replace","Shift+Alt+5","Editing Text"
"Text Editing","Query Replace","Alt+%","Editing Text"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","End Buffer","Esc Shift+.","Editing Text"
"Text Editing","Split Window Horizontally","Ctrl+X 2","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"File","Print","Alt+F9","In Windows"
"Run/Debug","Step Into","Ctrl+C Ctrl+S","Debugging"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"File","New (Interface)","Ctrl+C P I","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","Narrow To Region","Ctrl+X N N","Editing Text"
"Text Editing","Zap to Char","Alt+Z","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"File","Rename","F2","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Text Editing","Page Down","Alt+V","Editing Text"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Refactor - Java","Introduce Indirection","Ctrl+C P X D","In Windows"
"Application Category","Save","Ctrl+X Ctrl+S","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Forward Character","Ctrl+F","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"Text Editing","Text End","Shift+Alt+<","Editing Text"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"Edit","Redo","F10","In Windows"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"File","New (Java Project)","Ctrl+C P P","Editing Text"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
